m49,NAME,px2,Flag
434,Libya,1572.471348353601,E
729,Sudan,1798.0564133167675,X
360,Indonesia,1805.0665182715306,A
682,Saudi Arabia,1860.897089904434,A
484,Mexico,1896.0685282925697,A
012,Algeria,2246.07121421933,I
180,Dem. Rep. Congo,2251.062660106318,A
398,Kazakhstan,2634.805709200677,A
032,Argentina,2694.6129457283614,A
356,India,3048.8691338720582,I
036,Australia,7448.423180058431,A
076,Brazil,8199.80096565727,A
156,China,9077.106789557141,E
840,United States of America,9157.237792249975,A
124,Canada,9609.790512013651,A
643,Russia,16436.6177208205,A
