Item,head_millions,pct_official,countries
Chickens,26112.107,50.96394174548994,184.0
Cattle,1555.410381,74.32185210547337,192.0
Sheep,1347.999944,76.71427484866423,180.0
Goats,1136.340131,63.858021309290535,187.0
Swine / pigs,984.850424,94.77308475017725,172.0
